"variable","term","df.residual","rss","df","sumsq","p.value","contrast.name"
"anova02_lm.res","scale(log(residence_time_to_2020)) ~ 1",539,539,NA,NA,NA,"C1_nonnat_nat"
"anova02_lm.res","scale(log(residence_time_to_2020)) ~ C1_nonnat_nat",538,509.278608430767,1,29.721391569233,2.10244316602029e-08,"C1_nonnat_nat"
"anova01_lm.res","scale(log(residence_time_to_2020)) ~ C1_nonnat_nat",538,509.278608430767,NA,NA,NA,"C1_noninv_inv"
"anova01_lm.res","scale(log(residence_time_to_2020)) ~ C1_nonnat_nat + C2_noninv_inv",537,508.918521230702,1,0.360087200065152,0.537626595214688,"C1_noninv_inv"
"anova02_lm.suit","scale(log(hab_suit_prop_max + 0.001)) ~ 1",616,616,NA,NA,NA,"C1_nonnat_nat"
"anova02_lm.suit","scale(log(hab_suit_prop_max + 0.001)) ~ C1_nonnat_nat",615,553.259071907718,1,62.7409280922824,6.75743102062653e-17,"C1_nonnat_nat"
"anova01_lm.suit","scale(log(hab_suit_prop_max + 0.001)) ~ C1_nonnat_nat",615,553.259071907718,NA,NA,NA,"C1_noninv_inv"
"anova01_lm.suit","scale(log(hab_suit_prop_max + 0.001)) ~ C1_nonnat_nat + C2_noninv_inv",614,551.665621003944,1,1.59345090377315,0.182949546685334,"C1_noninv_inv"
